,wiki,website,company
0,https://en.wikipedia.org/wiki/Acadian_Asset_Management,http://www.acadian-asset.com,Acadian_Asset_Management
1,https://en.wikipedia.org/wiki/Adage_Capital_Management,http://www.adagecapital.com,Adage_Capital_Management
2,https://en.wikipedia.org/wiki/Alphadyne_Asset_Management,http://adyne.com,Alphadyne_Asset_Management
3,https://en.wikipedia.org/wiki/AlphaSimplex_Group,http://www.alphasimplex.com,AlphaSimplex_Group
4,https://en.wikipedia.org/wiki/Altimeter_Capital,http://altimeter.com,Altimeter_Capital
5,https://en.wikipedia.org/wiki/Angelo_Gordon,http://angelogordon.com,Angelo_Gordon
6,https://en.wikipedia.org/wiki/Appaloosa_Management,http://amlp.com,Appaloosa_Management
7,https://en.wikipedia.org/wiki/AQR_Capital_Management,http://aqr.com,AQR_Capital_Management
8,https://en.wikipedia.org/wiki/Archegos_Capital_Management,False,Archegos_Capital_Management
9,https://en.wikipedia.org/wiki/Assured_Investment_Management,https://web.archive.org/web/20230619183139/https://www.assuredinvestmentmanagement.com/,Assured_Investment_Management
10,https://en.wikipedia.org/wiki/Atlantic_Investment_Management,http://www.atlanticinvestment.net,Atlantic_Investment_Management
11,https://en.wikipedia.org/wiki/Aurelius_Capital_Management,https://aurelius-capital.com,Aurelius_Capital_Management
12,https://en.wikipedia.org/wiki/Avenue_Capital_Group,http://avenuecapital.com,Avenue_Capital_Group
13,https://en.wikipedia.org/wiki/Baker_Brothers_Advisors,False,Baker_Brothers_Advisors
14,https://en.wikipedia.org/wiki/Balyasny_Asset_Management,http://www.bamfunds.com,Balyasny_Asset_Management
15,https://en.wikipedia.org/wiki/Beach_Point_Capital_Management,http://beachpoint.capital,Beach_Point_Capital_Management
16,https://en.wikipedia.org/wiki/Bracebridge_Capital,http://www.bracebridgecapital.com,Bracebridge_Capital
17,https://en.wikipedia.org/wiki/Canyon_Capital_Advisors,http://canyonpartners.com,Canyon_Capital_Advisors
18,https://en.wikipedia.org/wiki/Capstone_Investment_Advisors,http://www.capstoneco.com,Capstone_Investment_Advisors
19,https://en.wikipedia.org/wiki/Coatue_Management,http://www.coatue.com/,Coatue_Management
20,https://en.wikipedia.org/wiki/D1_Capital_Partners,False,D1_Capital_Partners
21,https://en.wikipedia.org/wiki/Deerfield_Management,http://www.deerfield.com,Deerfield_Management
22,https://en.wikipedia.org/wiki/Discovery_Capital_Management,False,Discovery_Capital_Management
23,https://en.wikipedia.org/wiki/Dragoneer_Investment_Group,http://dragoneer.com,Dragoneer_Investment_Group
24,https://en.wikipedia.org/wiki/Ellington_Management_Group,False,Ellington_Management_Group
25,https://en.wikipedia.org/wiki/Engineers_Gate,http://www.eglp.com,Engineers_Gate
26,https://en.wikipedia.org/wiki/ESL_Investments,False,ESL_Investments
27,https://en.wikipedia.org/wiki/ExodusPoint_Capital_Management,http://www.exoduspoint.com,ExodusPoint_Capital_Management
28,https://en.wikipedia.org/wiki/Fortress_Investment_Group,http://fortress.com,Fortress_Investment_Group
29,https://en.wikipedia.org/wiki/Garda_Capital_Partners,http://www.gardacp.com,Garda_Capital_Partners
30,https://en.wikipedia.org/wiki/GCM_Grosvenor,http://www.gcmgrosvenor.com,GCM_Grosvenor
31,https://en.wikipedia.org/wiki/Glenview_Capital_Management,False,Glenview_Capital_Management
32,https://en.wikipedia.org/wiki/GoldenTree_Asset_Management,False,GoldenTree_Asset_Management
